Image_name,UT_id,date_only(YYYY-MM-DD)
UT75-14D_09_07_2014.JPG,UT75-14D,2014-09-07
UT75-14D_09_08_2014.JPG,UT75-14D,2014-09-08
UT75-14D_09_09_2014.JPG,UT75-14D,2014-09-09
UT75-14D_09_10_2014.JPG,UT75-14D,2014-09-10
UT75-14D_09_11_2014.JPG,UT75-14D,2014-09-11
UT75-14D_09_12_2014.JPG,UT75-14D,2014-09-12
UT75-14D_09_13_2014.JPG,UT75-14D,2014-09-13
UT75-14D_09_14_2014.JPG,UT75-14D,2014-09-14
UT75-14D_09_15_2014.JPG,UT75-14D,2014-09-15
UT75-14D_09_16_2014.JPG,UT75-14D,2014-09-16
UT75-14D_09_17_2014.JPG,UT75-14D,2014-09-17
UT75-14D_09_18_2014.JPG,UT75-14D,2014-09-18
UT75-14D_09_19_2014.JPG,UT75-14D,2014-09-19
UT75-14D_09_20_2014.JPG,UT75-14D,2014-09-20
UT75-14D_09_21_2014.JPG,UT75-14D,2014-09-21
UT75-14D_09_22_2014.JPG,UT75-14D,2014-09-22
UT75-14D_09_23_2014.JPG,UT75-14D,2014-09-23
UT75-14D_09_24_2014.JPG,UT75-14D,2014-09-24
UT75-14D_09_26_2014.JPG,UT75-14D,2014-09-26
UT75-14D_09_27_2014.JPG,UT75-14D,2014-09-27
UT75-14D_09_28_2014.JPG,UT75-14D,2014-09-28
UT75-14D_09_29_2014.JPG,UT75-14D,2014-09-29
UT75-14D_09_30_2014.JPG,UT75-14D,2014-09-30
UT75-14D_10_01_2014.JPG,UT75-14D,2014-10-01
UT75-14D_10_02_2014.JPG,UT75-14D,2014-10-02
UT75-14D_10_03_2014.JPG,UT75-14D,2014-10-03
UT75-14D_10_05_2014.JPG,UT75-14D,2014-10-05
UT75-14D_10_06_2014.JPG,UT75-14D,2014-10-06
UT75-14D_10_07_2014.JPG,UT75-14D,2014-10-07
UT75-14D_10_08_2014.JPG,UT75-14D,2014-10-08
UT75-14D_10_09_2014.JPG,UT75-14D,2014-10-09
UT75-14D_10_10_2014.JPG,UT75-14D,2014-10-10
